Term Category (en-US),Court ID,Level (en-US),Jurisdiction,Court Type (en-US),Court Type (de-DE),Court Name (de-DE),Court Name (en-EN),Court Name (fr-FR),Court Name (es-ES),Alias (de-DE)
German Courts,1,Federal,Federal,Constitutional Court,Verfassungsgericht,Bundesverfassungsgericht,Federal Constitutional Court,Tribunal constitutionnel fédéral,Tribunal Constitucional de Alemania,
German Courts,2,Federal,Baden-Württemberg,Constitutional Court,Verfassungsgericht,Verfassungsgerichtshof für das Land Baden-Württemberg,,,,
German Courts,3,Federal,Bayern,Constitutional Court,Verfassungsgericht,Bayerischer Verfassungsgerichtshof,,,,
German Courts,4,Federal,Berlin,Constitutional Court,Verfassungsgericht,Verfassungsgerichtshof des Landes Berlin,,,,
German Courts,5,Federal,Brandenburg,Constitutional Court,Verfassungsgericht,Verfassungsgericht des Landes Brandenburg,,,,
German Courts,6,Federal,Bremen,Constitutional Court,Verfassungsgericht,Staatsgerichtshof der Freien Hansestadt Bremen,,,,
German Courts,7,Federal,Hamburg,Constitutional Court,Verfassungsgericht,Hamburgisches Verfassungsgericht,,,,
German Courts,8,Federal,Hessen,Constitutional Court,Verfassungsgericht,Staatsgerichtshof des Landes Hessen,,,,
German Courts,9,Federal,Mecklenburg-Vorpommern,Constitutional Court,Verfassungsgericht,Landesverfassungsgericht Mecklenburg-Vorpommern,,,,
German Courts,10,Federal,Niedersachsen,Constitutional Court,Verfassungsgericht,Niedersächsischer Staatsgerichtshof,,,,
German Courts,11,Federal,Nordrhein-Westfalen,Constitutional Court,Verfassungsgericht,Verfassungsgerichtshof für das Land Nordrhein-Westfalen,,,,
German Courts,12,Federal,Rheinland-Pfalz,Constitutional Court,Verfassungsgericht,Verfassungsgerichtshof Rheinland-Pfalz,,,,
German Courts,13,Federal,Saarland,Constitutional Court,Verfassungsgericht,Verfassungsgerichtshof des Saarlandes,,,,
German Courts,14,Federal,Sachsen,Constitutional Court,Verfassungsgericht,Verfassungsgerichtshof des Freistaates Sachsen,,,,
German Courts,15,Federal,Sachsen-Anhalt,Constitutional Court,Verfassungsgericht,Landesverfassungsgericht Sachsen-Anhalt,,,,
German Courts,16,Federal,Schleswig-Holstein,Constitutional Court,Verfassungsgericht,Schleswig-Holsteinisches Landesverfassungsgericht,,,,
German Courts,17,Federal,Thüringen,Constitutional Court,Verfassungsgericht,Thüringer Verfassungsgerichtshof,,,,
German Courts,18,Supreme Court,Federal,Court of Last Resort,Oberster Gerichtshof des Bundes,Bundesgerichtshof,Federal Court of Justice,Cour fédérale (Allemagne),,
German Courts,19,Federal,Federal,Intellectual Property Court,Bundesgericht für Angelegenheiten des gewerblichen Rechtsschutzes,Bundespatentgericht,,,,
German Courts,20,Regional,Baden-Württemberg,Higher Regional Court,Obere Landesgerichte,Oberlandesgericht Karlsruhe,,,,
German Courts,21,Regional,Baden-Baden,Regional Court,Landgerichte,Landgericht Baden-Baden,,,,
German Courts,22,Local,Achern,Local Court,Amtsgerichte,Amtsgericht Achern,,,,
German Courts,23,Local,Baden-Baden,Local Court,Amtsgerichte,Amtsgericht Baden-Baden,,,,
German Courts,24,Local,Bühl,Local Court,Amtsgerichte,Amtsgericht Bühl,,,,
German Courts,25,Local,Gernsbach,Local Court,Amtsgerichte,Amtsgericht Gernsbach,,,,
German Courts,26,Local,Rastatt,Local Court,Amtsgerichte,Amtsgericht Rastatt,,,,
German Courts,27,Regional,Freiburg,Regional Court,Landgerichte,Landgericht Freiburg,,,,
German Courts,28,Local,Breisach,Local Court,Amtsgerichte,Amtsgericht Breisach,,,,
German Courts,29,Local,Emmendingen,Local Court,Amtsgerichte,Amtsgericht Emmendingen,,,Nuevo Palacio de Emmendingen,
German Courts,30,Local,Ettenheim,Local Court,Amtsgerichte,Amtsgericht Ettenheim,,,,
German Courts,31,Local,Freiburg,Local Court,Amtsgerichte,Amtsgericht Freiburg im Breisgau,,,,Amtsgerichte Freiburg
German Courts,32,Local,Kenzingen,Local Court,Amtsgerichte,Amtsgericht Kenzingen,,,,
German Courts,33,Local,Lörrach,Local Court,Amtsgerichte,Amtsgericht Lörrach,,,,
German Courts,34,Local,Müllheim,Local Court,Amtsgerichte,Amtsgericht Müllheim,,,,
German Courts,35,Local,Staufen im Breisgau,Local Court,Amtsgerichte,Amtsgericht Staufen im Breisgau,,,,Amtsgerichte Staufen
German Courts,36,Local,Titisee-Neustadt,Local Court,Amtsgerichte,Amtsgericht Titisee-Neustadt,,,,
German Courts,37,Local,Waldkirch,Local Court,Amtsgerichte,Amtsgericht Waldkirch,,,,
German Courts,38,Regional,Heidelberg,Regional Court,Landgerichte,Landgericht Heidelberg,,,,
German Courts,39,Local,Heidelberg,Local Court,Amtsgerichte,Amtsgericht Heidelberg,,,,
German Courts,40,Local,Sinsheim,Local Court,Amtsgerichte,Amtsgericht Sinsheim,,,,
German Courts,41,Local,Wiesloch,Local Court,Amtsgerichte,Amtsgericht Wiesloch,,,,
German Courts,42,Regional,Karlsruhe,Regional Court,Landgerichte,Landgericht Karlsruhe,,,,
German Courts,43,Local,Bretten,Local Court,Amtsgerichte,Amtsgericht Bretten,,,,
German Courts,44,Local,Bruchsal,Local Court,Amtsgerichte,Amtsgericht Bruchsal,,,,
German Courts,45,Local,Ettlingen,Local Court,Amtsgerichte,Amtsgericht Ettlingen,,,,
German Courts,46,Local,Karlsruhe,Local Court,Amtsgerichte,Amtsgericht Karlsruhe,,,,
German Courts,47,Local,Karlsruhe-Durlach,Local Court,Amtsgerichte,Amtsgericht Karlsruhe-Durlach,,,,
German Courts,48,Local,Maulbronn,Local Court,Amtsgerichte,Amtsgericht Maulbronn,,,,
German Courts,49,Local,Pforzheim,Local Court,Amtsgerichte,Amtsgericht Pforzheim,,,,
German Courts,50,Local,Philippsburg,Local Court,Amtsgerichte,Amtsgericht Philippsburg,,,,
German Courts,51,Regional,Konstanz,Regional Court,Landgerichte,Landgericht Konstanz,,,,
German Courts,52,Local,Donaueschingen,Local Court,Amtsgerichte,Amtsgericht Donaueschingen,,,,
German Courts,53,Local,Konstanz,Local Court,Amtsgerichte,Amtsgericht Konstanz,,,,
German Courts,54,Local,Radolfzell,Local Court,Amtsgerichte,Amtsgericht Radolfzell,,,,
German Courts,55,Local,Singen,Local Court,Amtsgerichte,Amtsgericht Singen,,,,
German Courts,56,Local,Stockach,Local Court,Amtsgerichte,Amtsgericht Stockach,,,,
German Courts,57,Local,Überlingen,Local Court,Amtsgerichte,Amtsgericht Überlingen,,,,
German Courts,58,Local,Villingen-Schwenningen,Local Court,Amtsgerichte,Amtsgericht Villingen-Schwenningen,,,,
German Courts,59,Regional,Mannheim,Regional Court,Landgerichte,Landgericht Mannheim,,,,
German Courts,60,Local,Mannheim,Local Court,Amtsgerichte,Amtsgericht Mannheim,,,,
German Courts,61,Local,Schwetzingen,Local Court,Amtsgerichte,Amtsgericht Schwetzingen,,,,
German Courts,62,Local,Weinheim,Local Court,Amtsgerichte,Amtsgericht Weinheim,,,,
German Courts,63,Regional,Mosbach,Regional Court,Landgerichte,Landgericht Mosbach,,,,
German Courts,64,Local,Adelsheim,Local Court,Amtsgerichte,Amtsgericht Adelsheim,,,,
German Courts,65,Local,Buchen,Local Court,Amtsgerichte,Amtsgericht Buchen,,,,Amtsgerichte Buchen (Odenwald)
German Courts,66,Local,Mosbach,Local Court,Amtsgerichte,Amtsgericht Mosbach,,,,
German Courts,67,Local,Tauberbischofsheim,Local Court,Amtsgerichte,Amtsgericht Tauberbischofsheim,,,,
German Courts,68,Local,Wertheim,Local Court,Amtsgerichte,Amtsgericht Wertheim,,,,
German Courts,69,Regional,Offenburg,Regional Court,Landgerichte,Landgericht Offenburg,,,,
German Courts,70,Local,Gengenbach,Local Court,Amtsgerichte,Amtsgericht Gengenbach,,,,
German Courts,71,Local,Kehl,Local Court,Amtsgerichte,Amtsgericht Kehl,,,,
German Courts,72,Local,Lahr,Local Court,Amtsgerichte,Amtsgericht Lahr,,,,
German Courts,73,Local,Oberkirch,Local Court,Amtsgerichte,Amtsgericht Oberkirch,,,,
German Courts,74,Local,Offenburg,Local Court,Amtsgerichte,Amtsgericht Offenburg,,,,
German Courts,75,Local,Wolfach,Local Court,Amtsgerichte,Amtsgericht Wolfach,,,,
German Courts,76,Regional,Waldshut-Tiengen,Regional Court,Landgerichte,Landgericht Waldshut-Tiengen,,,,
German Courts,77,Local,Bad Säckingen,Local Court,Amtsgerichte,Amtsgericht Bad Säckingen,,,,
German Courts,78,Local,St. Blasien,Local Court,Amtsgerichte,Amtsgericht St. Blasien,,,,
German Courts,79,Local,Schönau,Local Court,Amtsgerichte,Amtsgericht Schönau,,,,
German Courts,80,Local,Schopfheim,Local Court,Amtsgerichte,Amtsgericht Schopfheim,,,,
German Courts,81,Local,Waldshut-Tiengen,Local Court,Amtsgerichte,Amtsgericht Waldshut-Tiengen,,,,
German Courts,82,Regional,Stuttgart,Higher Regional Court,Obere Landesgerichte,Oberlandesgericht Stuttgart,,,,
German Courts,83,Regional,Bamberg,Higher Regional Court,Obere Landesgerichte,Oberlandesgericht Bamberg,,,,
German Courts,84,Regional,München,Higher Regional Court,Obere Landesgerichte,Oberlandesgericht München,,,,
German Courts,85,Regional,Nürnberg,Higher Regional Court,Obere Landesgerichte,Oberlandesgericht Nürnberg,,,,
German Courts,86,Regional,Berlin,Higher Regional Court,Obere Landesgerichte,Kammergericht,Kammergericht,Kammergericht,,
German Courts,87,Regional,Brandenburg,Higher Regional Court,Obere Landesgerichte,Brandenburgisches Oberlandesgericht,,,,
German Courts,88,Regional,Bremen,Higher Regional Court,Obere Landesgerichte,Hanseatisches Oberlandesgericht Bremen,,,,
German Courts,89,Regional,Hamburg,Higher Regional Court,Obere Landesgerichte,Hanseatisches Oberlandesgericht,,,,
German Courts,90,Regional,Frankfurt am Main,Higher Regional Court,Obere Landesgerichte,Oberlandesgericht Frankfurt am Main,,,,
German Courts,91,Regional,Rostock,Higher Regional Court,Obere Landesgerichte,Oberlandesgericht Rostock,,,,
German Courts,92,Regional,Braunschweig,Higher Regional Court,Obere Landesgerichte,Oberlandesgericht Braunschweig,,,,
German Courts,93,Regional,Celle,Higher Regional Court,Obere Landesgerichte,Oberlandesgericht Celle,,,,
German Courts,94,Regional,Oldenburg,Higher Regional Court,Obere Landesgerichte,Oberlandesgericht Oldenburg,,,,
German Courts,95,Regional,Düsseldorf,Higher Regional Court,Obere Landesgerichte,Oberlandesgericht Düsseldorf,,,,
German Courts,96,Regional,Hamm,Higher Regional Court,Obere Landesgerichte,Oberlandesgericht Hamm,,,,
German Courts,97,Regional,Köln,Higher Regional Court,Obere Landesgerichte,Oberlandesgericht Köln,,,,
German Courts,98,Regional,Pfälzisches,Higher Regional Court,Obere Landesgerichte,Pfälzisches Oberlandesgericht,Palatine Higher Regional Court,,,
German Courts,99,Regional,Koblenz,Higher Regional Court,Obere Landesgerichte,Oberlandesgericht Koblenz,,,,
German Courts,100,Regional,Saarland,Higher Regional Court,Obere Landesgerichte,Saarländisches Oberlandesgericht,,,,
German Courts,101,Regional,Dresden,Higher Regional Court,Obere Landesgerichte,Oberlandesgericht Dresden,,,,
German Courts,102,Regional,Naumburg,Higher Regional Court,Obere Landesgerichte,Oberlandesgericht Naumburg,,,,
German Courts,103,Regional,Schleswig-Holstein,Higher Regional Court,Obere Landesgerichte,Schleswig-Holsteinisches Oberlandesgericht,,,,
German Courts,104,Regional,Thüringen,Higher Regional Court,Obere Landesgerichte,Thüringer Oberlandesgericht,,,,
German Courts,105,Federal,Federal,Federal Labor Court,Bundesarbeitsgericht,Bundesarbeitsgericht,Federal Labour Court,Tribunal fédéral du travail,,
German Courts,106,Regional,Baden-Württemberg,State Labor Court,Landesarbeitsgericht,Landesarbeitsgericht Baden-Württemberg,,,,
German Courts,107,Regional,München,State Labor Court,Landesarbeitsgericht,Landesarbeitsgericht München,,,,
German Courts,108,Regional,Nürnberg,State Labor Court,Landesarbeitsgericht,Landesarbeitsgericht Nürnberg,,,,
German Courts,109,Regional,Berlin-Brandenburg,State Labor Court,Landesarbeitsgericht,Landesarbeitsgericht Berlin-Brandenburg,,,,
German Courts,110,Regional,Bremen,State Labor Court,Landesarbeitsgericht,Landesarbeitsgericht Bremen,,,,
German Courts,111,Regional,Hamburg,State Labor Court,Landesarbeitsgericht,Landesarbeitsgericht Hamburg,,,,
German Courts,112,Regional,Hessen,State Labor Court,Landesarbeitsgericht,Hessisches Landesarbeitsgericht,,,,
German Courts,113,Regional,Mecklenburg-Vorpommern,State Labor Court,Landesarbeitsgericht,Landesarbeitsgericht Mecklenburg-Vorpommern,,,,
German Courts,114,Regional,Niedersachsen,State Labor Court,Landesarbeitsgericht,Landesarbeitsgericht Niedersachsen,,,,
German Courts,115,Regional,Düsseldorf,State Labor Court,Landesarbeitsgericht,Landesarbeitsgericht Düsseldorf,,,,
German Courts,116,Regional,Hamm,State Labor Court,Landesarbeitsgericht,Landesarbeitsgericht Hamm,,,,
German Courts,117,Regional,Köln,State Labor Court,Landesarbeitsgericht,Landesarbeitsgericht Köln,,,,OLG Karlsruhe
German Courts,118,Regional,Rheinland-Pfalz,State Labor Court,Landesarbeitsgericht,Landesarbeitsgericht Rheinland-Pfalz,,,,OLG Stuttgart
German Courts,119,Regional,Saarland,State Labor Court,Landesarbeitsgericht,Landesarbeitsgericht Saarland,,,,OLG Bamberg
German Courts,120,Regional,Sächsisches,State Labor Court,Landesarbeitsgericht,Sächsisches Landesarbeitsgericht,,,,OLG München
German Courts,121,Regional,Sachsen-Anhalt,State Labor Court,Landesarbeitsgericht,Landesarbeitsgericht Sachsen-Anhalt,,,,OLG Nürnberg
German Courts,122,Regional,Schleswig-Holstein,State Labor Court,Landesarbeitsgericht,Landesarbeitsgericht Schleswig-Holstein,,,,KG
German Courts,123,Regional,Thüringen,State Labor Court,Landesarbeitsgericht,Thüringer Landesarbeitsgericht,,,,
German Courts,124,Supreme Court,Federal,Supreme Tax Court,Bundesfinanzhof,Bundesfinanzhof,Federal Fiscal Court,Cour fédérale des finances,,
German Courts,125,Regional,Baden-Württemberg,Tax Court,Finanzgericht,Finanzgericht Baden-Württemberg,,,,HansOLG; Hans OLG
German Courts,126,Regional,München,Tax Court,Finanzgericht,Finanzgericht München,,,,OLG Frankfurt
German Courts,127,Regional,Nürnberg,Tax Court,Finanzgericht,Finanzgericht Nürnberg,,,,OLG Rostock
German Courts,128,Regional,Berlin-Brandenburg,Tax Court,Finanzgericht,Finanzgericht Berlin-Brandenburg,,,,
German Courts,129,Regional,Bremen,Tax Court,Finanzgericht,Finanzgericht Bremen,,,,
German Courts,130,Regional,Hamburg,Tax Court,Finanzgericht,Finanzgericht Hamburg,,,,
German Courts,131,Regional,Hessen,Tax Court,Finanzgericht,Hessisches Finanzgericht,,,,
German Courts,132,Regional,Mecklenburg-Vorpommern,Tax Court,Finanzgericht,Finanzgericht Mecklenburg-Vorpommern,,,,
German Courts,133,Regional,Niedersachsen,Tax Court,Finanzgericht,Niedersächsisches Finanzgericht,,,,
German Courts,134,Regional,Düsseldorf,Tax Court,Finanzgericht,Finanzgericht Düsseldorf,,,,
German Courts,135,Regional,Köln,Tax Court,Finanzgericht,Finanzgericht Köln,,,,
German Courts,136,Regional,Münster,Tax Court,Finanzgericht,Finanzgericht Münster,,,,
German Courts,137,Regional,Rheinland-Pfalz,Tax Court,Finanzgericht,Finanzgericht Rheinland-Pfalz,,,,
German Courts,138,Regional,Saarland,Tax Court,Finanzgericht,Finanzgericht des Saarlandes,,,,
German Courts,139,Regional,Sächsisches,Tax Court,Finanzgericht,Sächsisches Finanzgericht,,,,
German Courts,140,Regional,Sachsen-Anhalt,Tax Court,Finanzgericht,Finanzgericht des Landes Sachsen-Anhalt,,,,
German Courts,141,Regional,Schleswig-Holstein,Tax Court,Finanzgericht,Schleswig-Holsteinisches Finanzgericht,,,,
German Courts,142,Regional,Thüringen,Tax Court,Finanzgericht,Thüringer Finanzgericht,,,,
German Courts,143,Supreme Court,Federal,Supreme Social Court,Bundessozialgericht,Bundessozialgericht,Federal Social Court,Tribunal social fédéral,,
German Courts,144,Regional,Baden-Württemberg,Social Court,Landessozialgericht,Landessozialgericht Baden-Württemberg,,,,
German Courts,145,Regional,Bayern,Social Court,Landessozialgericht,Bayerisches Landessozialgericht,,,,
German Courts,146,Regional,Berlin-Brandenburg,Social Court,Landessozialgericht,Landessozialgericht Berlin-Brandenburg,,,,
German Courts,147,Regional,Niedersachsen-Bremen,Social Court,Landessozialgericht,Landessozialgericht Niedersachsen-Bremen,,,,
German Courts,148,Regional,Hamburg,Social Court,Landessozialgericht,Landessozialgericht Hamburg,,,,
German Courts,149,Regional,Hessen,Social Court,Landessozialgericht,Hessisches Landessozialgericht,,,,
German Courts,150,Regional,Mecklenburg-Vorpommern,Social Court,Landessozialgericht,Landessozialgericht Mecklenburg-Vorpommern,,,,
German Courts,151,Regional,Nordrhein-Westfalen,Social Court,Landessozialgericht,Landessozialgericht Nordrhein-Westfalen,,,,
German Courts,152,Regional,Rheinland-Pfalz,Social Court,Landessozialgericht,Landessozialgericht Rheinland-Pfalz,,,,
German Courts,153,Regional,Saarland,Social Court,Landessozialgericht,Landessozialgericht für das Saarland,,,,
German Courts,154,Regional,Sächsisches,Social Court,Landessozialgericht,Sächsisches Landessozialgericht,,,,
German Courts,155,Regional,Sachsen-Anhalt,Social Court,Landessozialgericht,Landessozialgericht Sachsen-Anhalt,,,,
German Courts,156,Regional,Schleswig-Holstein,Social Court,Landessozialgericht,Schleswig-Holsteinisches Landessozialgericht,,,,
German Courts,157,Regional,Thüringen,Social Court,Landessozialgericht,Thüringer Landessozialgericht,,,,
German Courts,158,Supreme Court,Federal,Supreme Federal Adminstrative Court,Bundesverwaltungsgericht,Bundesverwaltungsgericht,,,,
German Courts,159,Regional,Baden-Württemberg,Administrative Court,Verwaltungsgerichtshof,Verwaltungsgerichtshof Baden-Württemberg,,,,
German Courts,160,Regional,Bayern,Administrative Court,Verwaltungsgerichtshof,Bayerischer Verwaltungsgerichtshof,,,,VGH Bayern; BayVGH
German Courts,161,Regional,Berlin-Brandenburg,Administrative Court,Verwaltungsgerichtshof,Oberverwaltungsgericht Berlin-Brandenburg,,,,OVG Berlin-Brandenburg
German Courts,162,Regional,Bremen,Administrative Court,Verwaltungsgerichtshof,Oberverwaltungsgericht der Freien Hansestadt Bremen,,,,OVG der Freien Hansestadt Bremen
German Courts,163,Regional,Hamburg,Administrative Court,Verwaltungsgerichtshof,Hamburgisches Oberverwaltungsgericht,,,,Hamburgisches OVG
German Courts,164,Regional,Hessen,Administrative Court,Verwaltungsgerichtshof,Hessischer Verwaltungsgerichtshof,,,,Hessischer VGH; Hess. VGH
German Courts,165,Regional,Mecklenburg-Vorpommern,Administrative Court,Verwaltungsgerichtshof,Oberverwaltungsgericht Mecklenburg-Vorpommern,,,,OVG Mecklenburg-Vorpommern
German Courts,166,Regional,Niedersachsen,Administrative Court,Verwaltungsgerichtshof,Niedersächsisches Oberverwaltungsgericht,,,,Niedersächsisches OVG
German Courts,167,Regional,Nordrhein-Westfalen,Administrative Court,Verwaltungsgerichtshof,Oberverwaltungsgericht für das Land Nordrhein-Westfalen,,,,OVG für das Land Nordrhein-Westfalen; OVG NRW
German Courts,168,Regional,Rheinland-Pfalz,Administrative Court,Verwaltungsgerichtshof,Oberverwaltungsgericht Rheinland-Pfalz,,,,OVG Rheinland-Pfalz
German Courts,169,Regional,Saarland,Administrative Court,Verwaltungsgerichtshof,Oberverwaltungsgericht des Saarlandes,,,,OVG des Saarlandes
German Courts,170,Regional,Sächsisches,Administrative Court,Verwaltungsgerichtshof,Sächsisches Oberverwaltungsgericht,,,,Sächsisches OVG
German Courts,171,Regional,Sachsen-Anhalt,Administrative Court,Verwaltungsgerichtshof,Oberverwaltungsgericht des Landes Sachsen-Anhalt,,,,OVG des Landes Sachsen-Anhalt
German Courts,172,Regional,Schleswig-Holstein,Administrative Court,Verwaltungsgerichtshof,Schleswig-Holsteinisches Oberverwaltungsgericht,,,,Schleswig-Holsteinisches OVG
German Courts,173,Regional,Thüringen,Administrative Court,Verwaltungsgerichtshof,Thüringer Oberverwaltungsgericht,,,,Thüringer OVG
