trigger,position
junta de,start
Administración,start
Apartado \p{Lu} de,start
Auditoría Superior de,start
Comisión,start
Comisiones,start
Comité de,start
Congreso de,start
Cuenta de,start
Ejecutivo,start
Código Fiscal,start
Gobierno,start
Hacienda Pública,start
INSTITUCIONES DE,start
Instituto para,start
ley de,start
Nacional Financiera,start
Plan Nacional de,start
Programa Nacional de,start
Registro Nacional,start
Reglamento,start
Secretaría de,start
Secretarío,start
Finanzas Públicas,start
Subsecretario de,start
Tesorería de,start